Designator,Val,Package,PosX,PosY,Rot,Side
C1,22pF,C_0402_1005Metric,75.775,-85.74375,180,top
C2,22pF,C_0402_1005Metric,75.775,-80.94375,180,top
C3,1uF,C_0402_1005Metric,91.375,-80.04375,0,top
C4,0.1uF,C_0402_1005Metric,78.725,-86.84375,180,top
C5,0.1uF,C_0402_1005Metric,78.653459,-79.908459,180,top
C6,0.1uF,C_0402_1005Metric,89.275,-79.84375,0,top
C7,0.1uF,C_0402_1005Metric,89.275,-86.84375,0,top
C8,10uF,C_0402_1005Metric,93.175,-86.84375,90,top
F1,500mA,Fuse_1206_3216Metric,99.21875,-85.725,-90,top
R1,10k,R_0402_1005Metric,75.775,-87.14375,180,top
R2,22,R_0402_1005Metric,91.975,-84.64375,-90,top
R3,22,R_0402_1005Metric,93.175,-84.64375,-90,top
R4,10K,R_0402_1005Metric,91.075,-86.84375,-90,top
SW1,SW_Push,SW_SPST_PTS810,72.23125,-84.625,90,top
U1,SRV05-4,SOT-23-6,96.04375,-85.53,270,top
U2,ATmega32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,83.975,-83.34375,-90,top
Y1,16MHz,Crystal_SMD_2520-4Pin_2.5x2.0mm,75.875,-83.34375,90,top
